time,Cl2m_rad_max,Cr_III_avg,Cr_II_avg,Fe_avg,Ni_avg,T_fluid_max,T_fluid_min,T_solid_max,energy_balance_error,fission_power,hx_removal_power,redox_ratio_CrIII_CrII,vel_y_core_leg_max,vel_y_hx_leg_min
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0088742092478e-09,1.0559888059433,1.9449480525922,0.0010027370077464,0.00095407480823522,1036.100198617,970.76717223099,1035.9488218757,6.2581947459782e-05,72750155.818741,72745602.972312,0.54293933688147,1.5556197662615,-1.4714792781416
