time,Cl2m_rad_max,Cr_III_outlet,Cr_II_outlet,T_hotspot,T_outlet,corrosion_rate_wall_max,delta_T,energy_balance_error,enthalpy_flux,mu_t_max,nuclear_power,redox_ratio_CrIII_CrII,vel_y_max,vel_y_min
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7.217404418775e-10,0.035009657261932,2.96466866231,1036.6933646749,914.45108839552,248.41081761988,41.301088395518,0.0016012313960157,46.832908381107,33.466758019001,154796462.61358,0.011808961219516,2.3080736953242,-0.32579104642247
