time,F2_diss_max,F2_dissolved_total,F2_gas_total,reactor_power_fraction
0,0,0,0,0
10,4.3193105867365e-05,1.7209747267787e-05,1.996647775253e-06,0.1
20,0.00012239342029845,4.8713047579058e-05,6.6657614486719e-06,0.2
30,0.00023161369212611,9.2091527140097e-05,1.4015021875672e-05,0.3
40,0.00036586370910259,0.00014533861892978,2.3782134765661e-05,0.4
50,0.00052098339756517,0.00020678875283719,3.563326689276e-05,0.5
60,0.00069350434004889,0.00027505892935874,4.9245265239055e-05,0.6
70,0.00088053462570553,0.00034900043396502,6.4332471764809e-05,0.7
80,0.0010796629688088,0.0004276588895579,8.0651810398839e-05,0.8
90,0.0012888788166348,0.00051024118212859,9.7998631573613e-05,0.9
100,0.0015065057440463,0.00059608806071098,0.00011620188907363,1
110,0.0016879528188626,0.00066744168036513,0.00013312229976786,1
120,0.0018392404126929,0.00072676246042685,0.00014796508571008,1
130,0.0019653839462319,0.00077608970250198,0.00016062345844814,1
140,0.0020705633072585,0.0008171146426036,0.0001712760325158,1
150,0.0021582629138836,0.00085124050136729,0.00018019021925124,1
160,0.0022313878091206,0.00087963197845061,0.00018762988426287,1
170,0.0022923251044052,0.0009032486648824,0.00019383354298448,1
180,0.0023431411348367,0.00092290370461659,0.00019900398880165,1
190,0.0023855169531557,0.00093926369994639,0.00020331306189559,1
200,0.0024208544038967,0.00095288261967512,0.000206904264555,1
210,0.0024503225006951,0.00096422093755751,0.00020989722841894,1
220,0.002474896097099,0.00097366149420267,0.00021239171528975,1
230,0.0024953881327957,0.00098152264921163,0.00021447068501509,1
240,0.0025124765302137,0.00098806919037449,0.00021620336460537,1
250,0.0025267266110249,0.00099352138636227,0.00021764745992787,1
260,0.0025386098027355,0.0009980625009489,0.00021885105004353,1
270,0.0025485192329371,0.0010018450322472,0.0002198541989168,1
280,0.0025567827337729,0.001004995894848,0.0002206902939144,1
290,0.0025636736867734,0.0010076207251277,0.00022138715930588,1
300,0.0025694200665714,0.0010098074589868,0.00022196802490946,1
310,0.0025742119771508,0.0010116293057231,0.0002224521427357,1
320,0.0025782079595421,0.0010131472202547,0.00022285563047609,1
330,0.0025815402148128,0.0010144119591526,0.00022319193502793,1
340,0.0025843189886379,0.0010154657905593,0.00022347224670754,1
350,0.0025866362094742,0.0010163439165433,0.00022370588809448,1
360,0.0025885685404025,0.0010170756564947,0.00022390062956192,1
370,0.0025901799110326,0.0010176854318423,0.00022406308005326,1
380,0.0025915236289198,0.0010181935857222,0.00022419846275307,1
390,0.0025926441589624,0.001018617064662,0.00022431123690032,1
400,0.0025935785682871,0.0010189699865866,0.00022440520485469,1
410,0.0025511733258708,0.001002056768517,0.00022248700313474,0.9
420,0.0024726429773964,0.00097080380479843,0.0002178837287208,0.8
430,0.0023639600622949,0.00092762839226121,0.00021058988811548,0.7
440,0.0022301581013571,0.00087455054426614,0.00020086815698401,0.6
450,0.0020754120000793,0.00081324146605365,0.00018905560141061,0.5
460,0.0019032025602054,0.00074508885377115,0.00017547419427883,0.4
470,0.0017164320056939,0.00067124533443854,0.00016041257963914,0.3
480,0.0015175202258187,0.00059266854675043,0.00014411480992609,0.2
490,0.0013084849487398,0.0005101543228062,0.00012678607330504,0.1
500,0.0010910085818285,0.00042436417866345,0.00010859793127294,0
510,0.0009096870442599,0.00035305784693261,9.1690134339937e-05,0
520,0.00075850412324638,0.0002937764814624,7.6857866959058e-05,0
530,0.00063244786578769,0.00024448209176752,6.4208263004632e-05,0
540,0.00052734127546014,0.00020348453456501,5.3561940449117e-05,0
550,0.00043970234763787,0.00016938149946583,4.4654144920072e-05,0
560,0.00036662804597076,0.00014100904659573,3.721930604645e-05,0
570,0.0003056978811,0.00011740076645095,3.1019903172847e-05,0
580,0.00025489364560827,9.7754017909683e-05,2.5852520477396e-05,0
590,0.00021253253719358,8.1401994037014e-05,2.1545893051894e-05,0
600,0.00017721141263167,6.7790594882492e-05,1.7956770405839e-05,0
610,0.00014776031115214,5.6459269885231e-05,1.4965627227177e-05,0
620,0.00012320370296322,4.702514110638e-05,1.2472821079433e-05,0
630,0.00010272817796193,3.9169839834245e-05,1.0395309237414e-05,0
640,8.5655504059608e-05,3.2628588557425e-05,8.6638893006833e-06,0
650,7.1420162718263e-05,2.7181141999955e-05,7.2208934376691e-06,0
660,5.9550617663202e-05,2.2644268121549e-05,6.0182655063989e-06,0
670,4.965369639647e-05,1.8865505332553e-05,5.0159585156087e-06,0
680,4.1401567230713e-05,1.5717977790349e-05,4.1805993177914e-06,0
690,3.4520880522513e-05,1.3096088271499e-05,3.4843760187449e-06,0
700,2.8783714458949e-05,1.0911939173461e-05,2.9041109510439e-06,0
