time,F2_diss_max,F2_diss_outlet,F2_gas_outlet,T_outlet,mu_t_max
0,0,0,0,0,0
1,0.00014872706179162,0.0001285172790198,5.4170668678727e-06,932.30358533847,0.70131513254375
