time,Cl2_diss_max,Cr_III_outlet,Cr_II_outlet,Cr_I_outlet,Cr_total_outlet,oxidized_fraction_outlet
0,0,0,0,0,0,0
1,0.00021737084499933,0.00050974594821025,1.0000914703947,2.0452666960075e-08,1.0006012367956,0.00050943965434491
