time,corrosion_rate_um_y,cr_outlet_ppm,recession_um
0,49.847544112269,0.519961,0
200,49.834050517385,0.63640226213851,0.00031582915378473
600,49.81976158622,0.7933545459224,0.00094730634579198
1400,49.809412048827,0.92155538308559,0.0022099983641667
3000,49.804939198683,0.97998031486033,0.0047351556232071
6200,49.803867494524,0.99426498855472,0.0097853614684703
12600,49.803731501355,0.99609041201234,0.01988574557907
25400,49.803722603331,0.99621012581263,0.040086510191165
51000,49.803722307533,0.99621410840876,0.080488039175398
102200,49.803722307533,0.99621410840876,0.16129109714386
204600,49.803722307533,0.99621410840876,0.3228972130808
409400,49.803722307533,0.99621410840876,0.64610944495466
819000,49.803722307533,0.99621410840876,1.2925339087024
1638200,49.803722307533,0.99621410840876,2.5853828361979
3276600,49.803722307533,0.99621410840876,5.1710806911888
6553400,49.803722307533,0.99621410840876,10.342476401171
13107000,49.803722307533,0.99621410840876,20.685267821134
26214200,49.803722307533,0.99621410840876,41.370850661062
31500000,49.803722307533,0.99621410840876,49.71281948547
