time,cr_total,recession_um,salt_Cr_avg,salt_Cr_ppm,solid_Cr_min
0,11.978,0,0.02,0.519961,11968
1500000,11.978,0.2973650207952,0.12168358914877,3.1635360348693,10722.009117455
3000000,11.978,0.57886420547844,0.21794187589851,5.6660637867033,10134.251008973
4500000,11.978,0.8493319632631,0.31042798030656,8.070522153409,9723.7798846553
6000000,11.978,1.1111275085437,0.39994863272258,10.397884550953,9400.7335306535
7500000,11.978,1.365697982804,0.48699868132907,12.661016067127,9131.4606601943
9000000,11.978,1.6140392562171,0.5719186626601,14.86876998777,8899.2376768913
10500000,11.978,1.8568863592487,0.65495991944477,17.027680733721,8694.379156445
12000000,11.978,2.0948080791108,0.73631694774398,19.142804823295,8510.705465457
13500000,11.978,2.3282598529918,0.81614548372271,21.218191093097,8344.0003279642
15000000,11.978,2.5576159064563,0.89457349333494,23.257166408396,8191.2417272013
16500000,11.978,2.7831900254847,0.97170827529599,25.262520326559,8050.1802290785
18000000,11.978,3.0052496390951,1.0476412766171,27.236630291555,7919.0906463187
19500000,11.978,3.2240257371665,1.1224514839925,29.181549803411,7796.617371505
21000000,11.978,3.4397200752615,1.196207887479,31.099072469075,7681.6736125597
22500000,11.978,3.6525105452486,1.2689713169742,32.99077974726,7573.373267851
24000000,11.978,3.8625552667829,1.3407958412919,34.8580773217,7470.9834161545
25500000,11.978,4.06999576302,1.4117298540947,36.702223333248,7373.8902964684
27000000,11.978,4.2749594658607,1.4818169305583,38.524350651502,7281.5743861951
28500000,11.978,4.4775617207573,1.5510965129128,40.325484697533,7193.5917780376
30000000,11.978,4.6779074116854,1.6196044660997,42.106557889883,7109.5600178192
31500000,11.978,4.8760922935628,1.6873735333909,43.868421489773,7029.1471655954
33000000,11.978,5.0722040964071,1.7544337139539,45.611855417059,6952.0632276146
34500000,11.978,5.2663234493195,1.8208125788069,47.33757646445,6878.0533601423
36000000,11.978,5.4585246607585,1.8865355376324,49.046245234143,6806.8924166813
37500000,11.978,5.6488763830836,1.951626066017,50.738472045613,6738.3805271439
39000000,11.978,5.8374421830645,2.0161059005365,52.414822007443,6672.3394792853
40500000,11.978,6.0242810353416,2.0799952074939,54.075819404187,6608.6097307496
42000000,11.978,6.2094477522468,2.143312729896,55.721951517474,6547.0479218917
43500000,11.978,6.3929933606505,2.2060759163161,57.353671976183,6487.5247900659
45000000,11.978,6.5749654343861,2.2683010345658,58.971403711693,6429.9234086268
46500000,11.978,6.7554083891446,2.3300032725337,60.575541579495,6374.1376907463
48000000,11.978,6.9343637454396,2.3911968281066,62.166454696958,6320.0711108781
49500000,11.978,7.1118703642183,2.4518949897358,63.744488537901,6267.6356064052
51000000,11.978,7.2879646588768,2.5121102089355,65.309966817415,6216.7506294695
52500000,11.978,7.4626807867928,2.5718541657774,66.863193194588,6167.3423247779
54000000,11.978,7.6360508229645,2.6311378282661,68.404452816154,6119.3428137059
55500000,11.978,7.8081049179239,2.6899715063377,69.934013720344,6072.689568595
57000000,11.978,7.9788714417545,2.748364901106,71.452128117198,6027.3248639735
58500000,11.978,8.1483771157618,2.8063271498871,72.959033559122,5983.1952936974
60000000,11.978,8.3166471331224,2.8638668674558,74.454954013458,5940.2513448367
61500000,11.978,8.4837052696484,2.9209921839205,75.940100847174,5898.4470206094
63000000,11.978,8.6495739856492,2.9777107795554,77.414673732422,5857.7395058732
